Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,276348,196787,23299,56262,43661,8828299,532,0
HEX,63488,63488,0,0,0,4225824,1,0
XML,48099,38549,3307,6243,0,2365388,190,0
C Header,26705,13756,8140,4809,354,955379,317,0
Autoconf,3172,2123,668,381,170,121279,104,0
Perl,1896,1751,38,107,93,78182,3,0
Python,1832,1197,425,210,113,61450,12,0
Systemd,1456,1302,0,154,0,45819,115,0
BASH,1303,939,212,152,240,37694,2,0
m4,1151,1067,28,56,0,60745,5,0
Snakemake,623,310,147,166,0,29267,23,0
Shell,499,362,68,69,58,14723,8,0
Extensible Stylesheet Language Transformations,294,258,0,36,0,8880,2,0
Plain Text,239,230,0,9,0,5703,2,0
CSS,196,151,3,42,0,3097,1,0
JavaScript,185,148,6,31,16,7059,3,0
ReStructuredText,174,140,0,34,0,5011,5,0
Makefile,59,32,20,7,4,1681,4,0
HTML,17,14,0,3,0,497,1,0
YAML,14,14,0,0,0,655,1,0
Vim Script,9,7,2,0,0,258,2,0
Emacs Lisp,7,3,3,1,0,210,1,0
