Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,185210,129690,32555,22965,28598,6155914,256,0
Forth,76127,65523,0,10604,283,3961148,181,0
XML,64182,50522,4022,9638,0,2687042,225,0
C Header,21643,7949,11023,2671,81,780602,111,0
Extensible Stylesheet Language Transformations,7708,6602,0,1106,0,286507,35,0
Autoconf,5316,3088,1530,698,405,176512,72,0
HTML,3511,2836,8,667,0,99817,209,0
m4,2172,1867,48,257,0,69122,49,0
CSS,1972,1326,340,306,0,37613,6,0
Shell,1667,1132,386,149,180,51302,14,0
Prolog,922,922,0,0,0,11985,17,0
AWK,852,658,111,83,67,29474,7,0
License,749,633,0,116,0,37210,2,0
Perl,713,514,106,93,58,17404,5,0
Lua,466,311,95,60,37,13797,11,0
Document Type Definition,391,276,0,115,0,12108,6,0
Plain Text,331,258,0,73,0,12116,6,0
D,324,308,9,7,0,12419,2,0
LEX,226,141,61,24,0,4961,1,0
Windows Resource-Definition Script,191,144,30,17,0,7097,2,0
Happy,154,131,0,23,0,5358,1,0
Makefile,111,26,69,16,1,4677,5,0
TeX,80,26,45,9,0,2582,1,0
Expect,34,34,0,0,0,515,34,0
Module-Definition,27,19,3,5,0,432,3,0
Properties File,4,0,3,1,0,100,1,0
