Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,12871123,9301314,1774984,1794825,1362563,349699525,19024,0
JSON,8919011,8919011,0,0,0,2137976879,1,0
C Header,2969950,1980520,631308,358122,33632,98887516,15666,0
Assembly,381755,285804,56673,39278,3613,9714727,1393,0
Plain Text,296851,230744,0,66107,0,11077078,1835,0
Device Tree,147928,117757,13301,16870,0,3555733,764,0
Intel HEX,106650,106639,0,11,0,4685001,109,0
XML,49842,46362,308,3172,0,1789173,155,0
Makefile,42886,28468,7296,7122,319,1344864,1768,0
Go Template,25054,22778,0,2276,0,892734,30,0
Perl,23273,18631,2174,2468,1880,612545,38,0
HEX,16558,16487,0,71,0,823735,25,0
Shell,7816,5127,1848,841,542,204816,82,0
Happy,4460,3902,0,558,0,92226,7,0
Python,4332,3286,425,621,499,135169,25,0
LEX,2086,1575,258,253,0,47705,7,0
C++,1790,1599,42,149,270,44410,1,0
License,1421,1176,0,245,0,75214,6,0
SVG,1389,1387,2,0,0,65830,5,0
TeX,1022,911,3,108,96,51371,1,0
BASH,911,695,115,101,89,21404,37,0
AWK,897,714,94,89,221,22133,8,0
LD Script,603,488,59,56,0,13007,17,0
Bazel,479,290,93,96,8,15491,1,0
HTML,436,378,0,58,0,16247,2,0
Scala,281,218,0,63,20,12158,1,0
Unreal Script,244,127,77,40,7,6113,2,0
Objective C++,244,189,0,55,8,10878,1,0
Autoconf,198,162,9,27,5,4245,6,0
ASP,170,137,0,33,9,4528,1,0
DOT,133,99,7,27,0,4873,4,0
C++ Header,125,59,55,11,2,3859,2,0
Extensible Stylesheet Language Transformations,110,97,0,13,0,3937,6,0
Vim Script,42,27,12,3,5,1355,1,0
sed,33,30,3,0,30,2073,1,0
Snakemake,26,14,6,6,0,1094,1,0
Module-Definition,8,8,0,0,1,147,1,0
