Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
JSON,8919011,8919011,0,0,0,2137976879,1,0
C,4799561,3402736,751739,645086,554407,133907047,7261,0
C Header,1154849,777986,231213,145650,17872,41105641,7033,0
Assembly,261128,204626,30940,25562,2575,6773240,782,0
Plain Text,112407,85042,0,27365,0,4189289,433,0
Makefile,19931,11354,4787,3790,142,598835,763,0
Go Template,18791,16666,0,2125,0,633258,21,0
Perl,4346,3236,641,469,552,122907,15,0
Happy,3268,2873,0,395,0,69941,4,0
Shell,3036,1796,963,277,202,84682,36,0
LEX,1536,1177,199,160,0,34259,4,0
C++,1426,1230,55,141,214,34573,1,0
License,1069,886,0,183,0,56927,4,0
TeX,1022,911,3,108,96,51367,1,0
HTML,808,750,0,58,0,33945,2,0
LD Script,502,390,62,50,0,11991,9,0
Autoconf,447,371,17,59,2,8801,8,0
Bazel,330,186,64,80,4,10017,1,0
Scala,281,218,0,63,20,12158,1,0
C++ Header,260,127,110,23,4,8010,4,0
Objective C++,244,189,0,55,8,10879,1,0
Unreal Script,239,123,75,41,7,5968,2,0
Python,193,131,38,24,29,4775,2,0
ASP,169,136,0,33,9,4526,1,0
AWK,122,99,9,14,13,3481,2,0
BASH,89,49,32,8,10,2260,3,0
Snakemake,28,12,9,7,0,1119,1,0
Extensible Stylesheet Language Transformations,5,5,0,0,0,209,1,0
