Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Python,365313,288503,35311,41499,22413,14376759,2679,0
Plain Text,140695,102092,0,38603,0,6086642,533,0
JavaScript,25998,18063,3968,3967,3265,1180240,101,0
HTML,5084,4547,11,526,0,229554,315,0
CSS,5056,4011,124,921,0,128443,39,0
JSON,1575,1572,0,3,0,75445,51,0
SVG,1135,1131,4,0,1,550935,30,0
XML,212,210,2,0,0,8742,14,0
Batch,189,165,1,23,65,5080,1,0
Makefile,171,134,7,30,3,5971,2,0
ReStructuredText,114,78,0,36,0,4282,4,0
License,102,82,0,20,0,5689,4,0
INI,67,54,6,7,0,1532,1,0
Markdown,52,40,0,12,0,2498,4,0
Shell,28,16,8,4,3,809,1,0
Autoconf,16,16,0,0,0,276,1,0
CSV,4,4,0,0,0,57,1,0
Smarty Template,3,3,0,0,0,142,1,0
YAML,2,2,0,0,0,68,1,0
