Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Python,126086,97833,17116,11137,10034,4876445,1098,0
Plain Text,46959,33685,0,13274,0,1778876,152,0
CSS,2346,1796,86,464,0,49099,12,0
HTML,2207,1827,16,364,0,82201,106,0
JavaScript,1997,1645,259,93,317,80650,19,0
JSON,1110,1096,0,14,0,26071,18,0
XML,384,380,0,4,0,20423,18,0
License,82,66,0,16,0,4614,3,0
Makefile,70,54,4,12,2,2272,1,0
SQL,67,53,13,1,0,1131495,11,0
Shell,28,16,8,4,3,804,1,0
Autoconf,26,26,0,0,0,1013,1,0
CSV,4,4,0,0,0,57,1,0
