Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Java,270047,150007,81134,38906,18504,9456059,1932,0
JavaScript,130034,112178,12680,5176,21683,4385145,479,0
HTML,25016,22692,1740,584,0,976236,162,0
XML,17174,12862,2563,1749,0,671590,329,0
Plain Text,9515,8375,0,1140,0,465234,308,0
Freemarker Template,9249,5720,3207,322,1359,316624,200,0
JavaServer Pages,7692,6541,138,1013,64,223638,250,0
CSS,5836,4516,498,822,0,129101,84,0
Properties File,3252,2187,882,183,0,246266,109,0
Document Type Definition,1646,1313,0,333,0,36875,18,0
ActionScript,676,359,213,104,55,22970,4,0
Extensible Stylesheet Language Transformations,230,216,0,14,0,8112,7,0
License,206,172,0,34,0,11657,2,0
SVG,11,10,1,0,0,752,1,0
